Date	Close	Shares Traded	Turnover (Rs. Cr)	Policy Repo Rate	fed funds rate
22-Jul-22	16719.45	190906776	18600.11	4.9	1.75
25-Jul-22	16631	211392171	19384.43	4.9	1.75
26-Jul-22	16483.85	208208122	20087.54	4.9	1.75
27-Jul-22	16641.8	185210970	17608.03	4.9	1.75
28-Jul-22	16929.6	376256315	26674.28	4.9	2.5
29-Jul-22	17158.25	436059722	28241.29	4.9	2.5
1-Aug-22	17340.05	381532671	23221.04	4.9	2.5
2-Aug-22	17345.45	333639093	22576.94	4.9	2.5
3-Aug-22	17388.15	285414666	20842.13	4.9	2.5
4-Aug-22	17382	324981426	21848.21	4.9	2.5
5-Aug-22	17397.5	355310802	20013.14	5.4	2.5
8-Aug-22	17525.1	256994113	18475.21	5.4	2.5
10-Aug-22	17534.75	312716544	21952.35	5.4	2.5
11-Aug-22	17659	311247237	20476.53	5.4	2.5
12-Aug-22	17698.15	303872483	18422.47	5.4	2.5
16-Aug-22	17825.25	278042725	18495.27	5.4	2.5
17-Aug-22	17944.25	262768582	21209.54	5.4	2.5
18-Aug-22	17956.5	263914197	18441.68	5.4	2.5
19-Aug-22	17758.45	295627263	21531.99	5.4	2.5
22-Aug-22	17490.7	287559133	19605.44	5.4	2.5
23-Aug-22	17577.5	285616338	20365.8	5.4	2.5
24-Aug-22	17604.95	261953239	17819.88	5.4	2.5
25-Aug-22	17522.45	230181848	17566.7	5.4	2.5
26-Aug-22	17558.9	266636238	17500.8	5.4	2.5
29-Aug-22	17312.9	244854637	19351.5	5.4	2.5
30-Aug-22	17759.3	324687477	26284.26	5.4	2.5
1-Sep-22	17542.8	308526598	26813.95	5.4	2.5
2-Sep-22	17539.45	256268616	19548.88	5.4	2.5
5-Sep-22	17665.8	230309013	17011.26	5.4	2.5
6-Sep-22	17655.6	251204527	17521.09	5.4	2.5
7-Sep-22	17624.4	354137885	25419.5	5.4	2.5
8-Sep-22	17798.75	279845682	19925.25	5.4	2.5
9-Sep-22	17833.35	270299618	20564.06	5.4	2.5
12-Sep-22	17936.35	228242025	17648.17	5.4	2.5
13-Sep-22	18070.05	259922741	21039.08	5.4	2.5
14-Sep-22	18003.75	365866933	26611.96	5.4	2.5
15-Sep-22	17877.4	289637528	22007.78	5.4	2.5
16-Sep-22	17530.85	468464263	36013.89	5.4	2.5
19-Sep-22	17622.25	258329581	19548.99	5.4	2.5
20-Sep-22	17816.25	263100874	20456.69	5.4	2.5
21-Sep-22	17718.35	245532498	19816.78	5.4	2.5
22-Sep-22	17629.8	284094023	21303.96	5.4	3.25
23-Sep-22	17327.35	390754862	23750.53	5.4	3.25
26-Sep-22	17016.3	492002942	27533.01	5.4	3.25
27-Sep-22	17007.4	359895458	22712.8	5.4	3.25
28-Sep-22	16858.6	323922457	21400.93	5.4	3.25
29-Sep-22	16818.1	340034380	24758.63	5.4	3.25
30-Sep-22	17094.35	380204763	26205.63	5.9	3.25
3-Oct-22	16887.35	285850587	21860.54	5.9	3.25
4-Oct-22	17274.3	231601639	18480.43	5.9	3.25
6-Oct-22	17331.8	268239320	20404.46	5.9	3.25
7-Oct-22	17314.65	216273136	17043.26	5.9	3.25
10-Oct-22	17241	234005512	16220.67	5.9	3.25
